fecha,codigosucursal,codigovariable,valor
22/03/2018,23,25,6.00
22/03/2018,23,26,1.00
22/03/2018,23,27,2.00
22/03/2018,23,28,5.00
22/03/2018,23,29,4.00
22/03/2018,23,30,2.00
22/03/2018,23,31,2.00
22/03/2018,23,32,0.00
22/03/2018,23,33,2.00
22/03/2018,23,34,4.00
22/03/2018,23,35,2.00
22/03/2018,23,36,8.00
22/03/2018,23,37,0.00
22/03/2018,23,38,2.00
22/03/2018,23,39,1.00
22/03/2018,23,40,0.00
22/03/2018,24,1,282602.81
22/03/2018,24,2,79.00
22/03/2018,24,3,3577.25
22/03/2018,24,4,121.00
22/03/2018,24,5,72.40
22/03/2018,24,6,141.30
22/03/2018,24,7,0.35
22/03/2018,24,8,17.00
22/03/2018,24,9,60895.41
22/03/2018,24,10,2.00
22/03/2018,24,11,226.00
22/03/2018,24,12,176585.93
22/03/2018,24,13,8.77
22/03/2018,24,14,4527.84
22/03/2018,24,15,632418.65
22/03/2018,24,16,24.00
22/03/2018,24,17,103808.77
22/03/2018,24,18,0.11
22/03/2018,24,19,0.00
22/03/2018,24,20,0.00
22/03/2018,24,21,1.00
22/03/2018,24,22,3.00
22/03/2018,24,23,0.00
22/03/2018,24,24,6.00
22/03/2018,24,25,3.00
22/03/2018,24,26,0.00
22/03/2018,24,27,1.00
22/03/2018,24,28,1.00
22/03/2018,24,29,3.00
22/03/2018,24,30,0.00
22/03/2018,24,31,1.00
22/03/2018,24,32,0.00
22/03/2018,24,33,3.00
22/03/2018,24,34,5.00
22/03/2018,24,35,0.00
22/03/2018,24,36,6.00
22/03/2018,24,37,1.00
22/03/2018,24,38,0.00
22/03/2018,24,39,0.00
22/03/2018,24,40,2.00
22/03/2018,25,1,848702.01
22/03/2018,25,2,166.00
22/03/2018,25,3,5112.66
22/03/2018,25,4,249.00
22/03/2018,25,5,59.81
22/03/2018,25,6,166.41
22/03/2018,25,7,0.23
22/03/2018,25,8,29.00
22/03/2018,25,9,81645.42
22/03/2018,25,10,4.00
22/03/2018,25,11,371.00
22/03/2018,25,12,391310.52
22/03/2018,25,13,7.51
22/03/2018,25,14,5360.42
22/03/2018,25,15,240999.87
22/03/2018,25,16,6.00
22/03/2018,25,17,16626.10
22/03/2018,25,18,0.02
22/03/2018,25,19,0.00
22/03/2018,25,20,3.00
22/03/2018,25,21,0.00
22/03/2018,25,22,3.00
22/03/2018,25,23,1.00
22/03/2018,25,24,6.00
22/03/2018,25,25,13.00
