fecha,codigosucursal,codigovariable,valor
07/04/2018,16,27,0.00
07/04/2018,16,28,1.00
07/04/2018,16,29,0.00
07/04/2018,16,30,0.00
07/04/2018,16,31,1.00
07/04/2018,16,32,0.00
07/04/2018,16,33,0.00
07/04/2018,16,34,0.00
07/04/2018,16,35,0.00
07/04/2018,16,36,1.00
07/04/2018,16,37,0.00
07/04/2018,16,38,2.00
07/04/2018,16,39,0.00
07/04/2018,16,40,0.00
07/04/2018,17,1,75177.56
07/04/2018,17,2,15.00
07/04/2018,17,3,5011.84
07/04/2018,17,4,21.00
07/04/2018,17,5,49.58
07/04/2018,17,6,1.31
07/04/2018,17,7,0.01
07/04/2018,17,8,6.00
07/04/2018,17,9,19697.95
07/04/2018,17,10,0.00
07/04/2018,17,11,168.00
07/04/2018,17,12,25096.67
07/04/2018,17,13,7.60
07/04/2018,17,14,5019.33
07/04/2018,17,15,64488.05
07/04/2018,17,16,37.00
07/04/2018,17,17,197983.79
07/04/2018,17,18,0.22
07/04/2018,17,19,0.00
07/04/2018,17,20,0.00
07/04/2018,17,21,0.00
07/04/2018,17,22,1.00
07/04/2018,17,23,0.00
07/04/2018,17,24,2.00
07/04/2018,17,25,1.00
07/04/2018,17,26,0.00
07/04/2018,17,27,1.00
07/04/2018,17,28,3.00
07/04/2018,17,29,1.00
07/04/2018,17,30,1.00
07/04/2018,17,31,0.00
07/04/2018,17,32,0.00
07/04/2018,17,33,0.00
07/04/2018,17,34,1.00
07/04/2018,17,35,1.00
07/04/2018,17,36,0.00
07/04/2018,17,37,0.00
07/04/2018,17,38,0.00
07/04/2018,17,39,0.00
07/04/2018,17,40,0.00
07/04/2018,18,1,139245.36
07/04/2018,18,2,26.00
07/04/2018,18,3,5355.59
07/04/2018,18,4,42.00
07/04/2018,18,5,88.58
07/04/2018,18,6,42.20
07/04/2018,18,7,0.43
07/04/2018,18,8,9.00
07/04/2018,18,9,37869.04
07/04/2018,18,10,0.00
07/04/2018,18,11,433.00
07/04/2018,18,12,126985.81
07/04/2018,18,13,10.65
07/04/2018,18,14,5521.12
07/04/2018,18,15,231765.05
07/04/2018,18,16,23.00
07/04/2018,18,17,93910.64
07/04/2018,18,18,0.05
07/04/2018,18,19,0.00
07/04/2018,18,20,1.00
07/04/2018,18,21,0.00
07/04/2018,18,22,0.00
07/04/2018,18,23,0.00
07/04/2018,18,24,2.00
07/04/2018,18,25,2.00
07/04/2018,18,26,2.00
07/04/2018,18,27,0.00
07/04/2018,18,28,2.00
07/04/2018,18,29,2.00
07/04/2018,18,30,0.00
07/04/2018,18,31,1.00
07/04/2018,18,32,1.00
07/04/2018,18,33,0.00
07/04/2018,18,34,1.00
07/04/2018,18,35,2.00
07/04/2018,18,36,0.00
07/04/2018,18,37,2.00
07/04/2018,18,38,5.00
07/04/2018,18,39,0.00
07/04/2018,18,40,1.00
07/04/2018,19,1,132733.91
07/04/2018,19,2,29.00
07/04/2018,19,3,4577.03
07/04/2018,19,4,40.00
07/04/2018,19,5,74.24
07/04/2018,19,6,16.19
07/04/2018,19,7,0.23
07/04/2018,19,8,10.00
07/04/2018,19,9,23397.53
07/04/2018,19,10,1.00
07/04/2018,19,11,602.00
07/04/2018,19,12,93859.69
07/04/2018,19,13,9.90
07/04/2018,19,14,4692.98
07/04/2018,19,15,287729.03
07/04/2018,19,16,50.00
07/04/2018,19,17,258181.51
07/04/2018,19,18,0.08
07/04/2018,19,19,0.00
07/04/2018,19,20,1.00
07/04/2018,19,21,1.00
07/04/2018,19,22,1.00
07/04/2018,19,23,0.00
07/04/2018,19,24,4.00
07/04/2018,19,25,1.00
07/04/2018,19,26,0.00
07/04/2018,19,27,1.00
07/04/2018,19,28,2.00
07/04/2018,19,29,0.00
07/04/2018,19,30,0.00
07/04/2018,19,31,1.00
07/04/2018,19,32,0.00
07/04/2018,19,33,3.00
07/04/2018,19,34,0.00
07/04/2018,19,35,0.00
07/04/2018,19,36,2.00
07/04/2018,19,37,0.00
07/04/2018,19,38,0.00
07/04/2018,19,39,0.00
07/04/2018,19,40,1.00
07/04/2018,20,1,689813.94
07/04/2018,20,2,109.00
07/04/2018,20,3,6328.57
07/04/2018,20,4,270.00
07/04/2018,20,5,130.41
07/04/2018,20,6,132.66
07/04/2018,20,7,0.39
07/04/2018,20,8,12.00
07/04/2018,20,9,63060.28
07/04/2018,20,10,1.00
07/04/2018,20,11,650.00
07/04/2018,20,12,266529.57
07/04/2018,20,13,11.94
07/04/2018,20,14,8329.05
07/04/2018,20,15,358251.01
07/04/2018,20,16,41.00
07/04/2018,20,17,227065.97
07/04/2018,20,18,0.06
07/04/2018,20,19,1.00
07/04/2018,20,20,2.00
07/04/2018,20,21,0.00
07/04/2018,20,22,1.00
07/04/2018,20,23,0.00
07/04/2018,20,24,8.00
07/04/2018,20,25,1.00
07/04/2018,20,26,3.00
07/04/2018,20,27,0.00
07/04/2018,20,28,1.00
07/04/2018,20,29,0.00
07/04/2018,20,30,0.00
07/04/2018,20,31,2.00
07/04/2018,20,32,0.00
07/04/2018,20,33,3.00
07/04/2018,20,34,3.00
07/04/2018,20,35,0.00
07/04/2018,20,36,13.00
07/04/2018,20,37,125.00
07/04/2018,20,38,0.00
07/04/2018,20,39,0.00
07/04/2018,20,40,1.00
07/04/2018,21,1,156415.71
07/04/2018,21,2,40.00
07/04/2018,21,3,3910.39
07/04/2018,21,4,53.00
07/04/2018,21,5,66.35
07/04/2018,21,6,26.07
07/04/2018,21,7,0.30
07/04/2018,21,8,9.00
07/04/2018,21,9,23348.24
07/04/2018,21,10,1.00
07/04/2018,21,11,531.00
07/04/2018,21,12,95550.67
07/04/2018,21,13,9.86
07/04/2018,21,14,4550.03
07/04/2018,21,15,227661.18
07/04/2018,21,16,89.00
07/04/2018,21,17,307866.17
07/04/2018,21,18,0.17
07/04/2018,21,19,0.00
07/04/2018,21,20,2.00
07/04/2018,21,21,1.00
07/04/2018,21,22,1.00
07/04/2018,21,23,0.00
07/04/2018,21,24,6.00
07/04/2018,21,25,3.00
07/04/2018,21,26,0.00
07/04/2018,21,27,0.00
07/04/2018,21,28,2.00
07/04/2018,21,29,0.00
07/04/2018,21,30,0.00
07/04/2018,21,31,0.00
07/04/2018,21,32,0.00
07/04/2018,21,33,0.00
07/04/2018,21,34,0.00
07/04/2018,21,35,0.00
07/04/2018,21,36,0.00
07/04/2018,21,37,0.00
07/04/2018,21,38,0.00
07/04/2018,21,39,0.00
07/04/2018,21,40,1.00
07/04/2018,22,1,209336.66
07/04/2018,22,2,38.00
07/04/2018,22,3,5508.86
07/04/2018,22,4,50.00
07/04/2018,22,5,61.75
07/04/2018,22,6,116.30
07/04/2018,22,7,0.56
07/04/2018,22,8,12.00
07/04/2018,22,9,41047.18
07/04/2018,22,10,0.00
07/04/2018,22,11,334.00
07/04/2018,22,12,88744.07
07/04/2018,22,13,7.86
07/04/2018,22,14,4033.82
07/04/2018,22,15,163690.54
07/04/2018,22,16,20.00
07/04/2018,22,17,123534.19
07/04/2018,22,18,0.06
07/04/2018,22,19,1.00
07/04/2018,22,20,1.00
07/04/2018,22,21,0.00
07/04/2018,22,22,1.00
07/04/2018,22,23,0.00
07/04/2018,22,24,8.00
07/04/2018,22,25,5.00
07/04/2018,22,26,0.00
07/04/2018,22,27,0.00
07/04/2018,22,28,1.00
07/04/2018,22,29,0.00
07/04/2018,22,30,0.00
07/04/2018,22,31,1.00
07/04/2018,22,32,0.00
07/04/2018,22,33,0.00
07/04/2018,22,34,0.00
07/04/2018,22,35,2.00
07/04/2018,22,36,2.00
07/04/2018,22,37,1.00
07/04/2018,22,38,1.00
07/04/2018,22,39,0.00
07/04/2018,22,40,0.00
07/04/2018,23,1,225967.52
07/04/2018,23,2,49.00
07/04/2018,23,3,4611.58
07/04/2018,23,4,77.00
07/04/2018,23,5,73.48
07/04/2018,23,6,22.37
07/04/2018,23,7,0.22
07/04/2018,23,8,11.00
07/04/2018,23,9,25127.52
07/04/2018,23,10,3.00
07/04/2018,23,11,656.00
07/04/2018,23,12,116605.17
07/04/2018,23,13,8.61
07/04/2018,23,14,4164.47
07/04/2018,23,15,0.00
07/04/2018,23,16,145.00
07/04/2018,23,17,717576.82
07/04/2018,23,18,0.22
07/04/2018,23,19,0.00
07/04/2018,23,20,0.00
07/04/2018,23,21,1.00
07/04/2018,23,22,0.00
07/04/2018,23,23,0.00
07/04/2018,23,24,5.00
07/04/2018,23,25,4.00
07/04/2018,23,26,0.00
07/04/2018,23,27,0.00
07/04/2018,23,28,2.00
07/04/2018,23,29,2.00
07/04/2018,23,30,0.00
07/04/2018,23,31,1.00
07/04/2018,23,32,0.00
07/04/2018,23,33,4.00
07/04/2018,23,34,0.00
07/04/2018,23,35,2.00
07/04/2018,23,36,2.00
07/04/2018,23,37,0.00
07/04/2018,23,38,3.00
07/04/2018,23,39,0.00
07/04/2018,23,40,0.00
07/04/2018,24,1,89842.35
07/04/2018,24,2,21.00
07/04/2018,24,3,4278.21
07/04/2018,24,4,28.00
07/04/2018,24,5,81.53
07/04/2018,24,6,44.92
07/04/2018,24,7,0.34
07/04/2018,24,8,3.00
07/04/2018,24,9,5709.79
07/04/2018,24,10,1.00
07/04/2018,24,11,223.00
07/04/2018,24,12,9379.90
07/04/2018,24,13,7.00
07/04/2018,24,14,1875.98
07/04/2018,24,15,203727.51
07/04/2018,24,16,22.00
07/04/2018,24,17,98607.73
07/04/2018,24,18,0.10
07/04/2018,24,19,0.00
07/04/2018,24,20,0.00
07/04/2018,24,21,0.00
07/04/2018,24,22,0.00
07/04/2018,24,23,0.00
07/04/2018,24,24,1.00
07/04/2018,24,25,0.00
07/04/2018,24,26,0.00
07/04/2018,24,27,0.00
07/04/2018,24,28,0.00
07/04/2018,24,29,0.00
07/04/2018,24,30,0.00
07/04/2018,24,31,0.00
07/04/2018,24,32,2.00
07/04/2018,24,33,0.00
07/04/2018,24,34,1.00
07/04/2018,24,35,0.00
07/04/2018,24,36,3.00
07/04/2018,24,37,0.00
07/04/2018,24,38,0.00
07/04/2018,24,39,0.00
07/04/2018,24,40,0.00
07/04/2018,25,1,246100.15
07/04/2018,25,2,50.00
07/04/2018,25,3,4922.00
07/04/2018,25,4,66.00
07/04/2018,25,5,60.93
07/04/2018,25,6,48.25
07/04/2018,25,7,0.24
07/04/2018,25,8,5.00
07/04/2018,25,9,15318.02
07/04/2018,25,10,0.00
07/04/2018,25,11,382.00
07/04/2018,25,12,60305.16
07/04/2018,25,13,8.94
07/04/2018,25,14,3547.36
07/04/2018,25,15,109875.21
07/04/2018,25,16,6.00
07/04/2018,25,17,16626.10
07/04/2018,25,18,0.02
07/04/2018,25,19,0.00
07/04/2018,25,20,3.00
07/04/2018,25,21,0.00
07/04/2018,25,22,1.00
07/04/2018,25,23,2.00
07/04/2018,25,24,4.00
07/04/2018,25,25,4.00
07/04/2018,25,26,0.00
07/04/2018,25,27,0.00
07/04/2018,25,28,0.00
07/04/2018,25,29,0.00
07/04/2018,25,30,1.00
07/04/2018,25,31,2.00
07/04/2018,25,32,0.00
07/04/2018,25,33,0.00
07/04/2018,25,34,2.00
07/04/2018,25,35,1.00
07/04/2018,25,36,3.00
